question_ru,option_1_ru,option_2_ru,option_3_ru,option_4_ru,answer_ru
Первым федеральным канцлером Федеративной Республики Германия был …,Людвиг Эрхард.,Вилли Брандт.,Конрад Аденауэр.,Герхард Шрёдер.,Конрад Аденауэр.
Что хотел выразить Вилли Брандт своим коленопреклонением в 1970 году в бывшем еврейском гетто в Варшаве?,Он подчинился бывшим союзникам.,Он просил прощения у Польши и польских евреев.,Он продемонстрировал свою покорность перед Варшавским договором.,Он молился на могиле неизвестного солдата.,Он просил прощения у Польши и польских евреев.
Как называется еврейский молитвенный дом?,базилика,мечеть,синагога,церковь,синагога
"Когда в Федеративной Республике Германия было ""экономическое чудо""?",40-е годы,50-е годы,70-е годы,80-е годы,50-е годы
На каком правовом основании был создан государство Израиль?,резолюция ООН,решение сионистского конгресса,предложение федерального правительства,предложение СССР,резолюция ООН
"Что означал термин ""Железный занавес""? Это изоляция …",стран Варшавского договора от Запада,Северной Германии от Южной Германии,нацистской Германии от союзников,Европы от США,стран Варшавского договора от Запада
"В 1953 году в ГДР был восстание, о котором в Федеративной Республике Германия долгое время напоминал праздник. Когда это было?",1 мая,17 июня,20 июля,9 ноября,17 июня
"Какое немецкое государство имело черно-красно-золотой флаг с молотом, циркулем и венком из колосьев?",Пруссия,Федеративная Республика Германия,Третий Рейх,ГДР,ГДР
В каком году была построена Берлинская стена?,1953,1956,1959,1961,1961
Когда ГДР построила Берлинскую стену?,1919,1933,1961,1990,1961
Что означает аббревиатура ГДР?,Третье немецкое радио,Немецкая Республика,Третья Немецкая Республика,Германская Демократическая Республика,Германская Демократическая Республика
Когда Берлинская стена была открыта для всех?,1987,1989,1992,1995,1989
Какая современная федеральная земля Германии раньше принадлежала территории ГДР?,Бранденбург,Бавария,Саар,Гессен,Бранденбург
С 1961 по 1989 год Берлин был …,без мэра.,отдельным государством.,разделен стеной.,доступен только по воздуху.,разделен стеной.
3 октября в Германии отмечается День …,единства.,нации.,федеральных земель.,городов.,единства.
Какая современная федеральная земля Германии раньше принадлежала территории ГДР?,Гессен,Саксония-Анхальт,Северный Рейн-Вестфалия,Саар,Саксония-Анхальт
"Почему осень 1989 года в ГДР называют ""переменами""? В это время ГДР изменилась политически …",из диктатуры в демократию.,из либеральной рыночной экономики в социализм.,из монархии в социал-демократию.,из религиозного государства в коммунистическое.,из диктатуры в демократию.
Какая современная федеральная земля Германии раньше принадлежала территории ГДР?,Тюрингия,Гессен,Бавария,Бремен,Тюрингия
Какая современная федеральная земля Германии раньше принадлежала территории ГДР?,Бавария,Нижняя Саксония,Саксония,Баден-Вюртемберг,Саксония
"Что в ГДР называли ""Штази""?",парламент.,Министерство государственной безопасности.,правящую партию.,Министерство народного образования.,Министерство государственной безопасности.
Какая современная федеральная земля Германии раньше принадлежала территории ГДР?,Гессен,Шлезвиг-Гольштейн,Мекленбург-Передняя Померания,Саар,Мекленбург-Передняя Померания
"Какой из перечисленных списков содержит только федеральные земли, которые входили в состав бывшей ГДР?","Нижняя Саксония, Северный Рейн-Вестфалия, Гессен, Шлезвиг-Гольштейн","Мекленбург-Передняя Померания, Бранденбург, Саксония, Саксония-Анхальт, Тюрингия","Бавария, Баден-Вюртемберг, Рейнланд-Пфальц, Тюрингия, Саксония","Саксония, Тюрингия, Гессен, Нижняя Саксония, Бранденбург","Мекленбург-Передняя Померания, Бранденбург, Саксония, Саксония-Анхальт, Тюрингия"
"К кому относилась ГДР в ""холодной войне""?",к западным державам,к Варшавскому договору,к НАТО,к нейтральным странам,к Варшавскому договору
Как называлась экономическая система ГДР?,рыночная экономика,плановая экономика,спрос и предложение,капитализм,плановая экономика
Как ФРГ и ГДР стали единым государством?,ФРГ оккупировала ГДР.,Пять восточных федеральных земель присоединились к ФРГ.,Западные федеральные земли присоединились к ГДР.,ФРГ оккупировала ГДР.,Пять восточных федеральных земель присоединились к ФРГ.
С присоединением ГДР к ФРГ новые федеральные земли стали частью …,Европейского Союза.,Варшавского договора.,ОПЕК.,Европейского оборонительного сообщества.,Европейского Союза.
О чем напоминают так называемые «Камни преткновения» в Германии?,о знаменитых немецких политиках,о жертвах национал-социализма,о погибших в авариях,о известных еврейских музыкантах,о жертвах национал-социализма
В каком военном блоке состояла ГДР?,в НАТО,в Рейнском союзе,в Варшавском договоре,в Европейском союзе,в Варшавском договоре
"Что такое ""Штази""?","служба безопасности в ""Третьем Рейхе""",знаменитый немецкий мемориал,служба безопасности ГДР,немецкий спортивный клуб во времена Второй мировой войны,служба безопасности ГДР
Каким было герб ГДР?,Изображение 1,Изображение 2,Изображение 3,Изображение 4,Изображение 4
Что произошло 17 июня 1953 года в ГДР?,торжественное присоединение к Варшавскому договору,общенациональные забастовки и восстание,первый съезд СЕПГ,первый визит Фиделя Кастро,общенациональные забастовки и восстание
"Какой политик ассоциируется с ""восточными договорами""?",Хельмут Коль,Вилли Брандт,Михаил Горбачев,Людвиг Эрхард,Вилли Брандт
Как Германия называется в полном названии?,Федеративное государство Германия,Федеративные земли Германии,Федеративная Республика Германия,Федеративный округ Германия,Федеративная Республика Германия
Сколько жителей в Германии?,70 миллионов,78 миллионов,84 миллиона,90 миллионов,84 миллиона
Какие цвета у флага Германии?,черный-красный-золотой,красный-белый-черный,черный-красный-зеленый,черный-желтый-красный,черный-красный-золотой
"Кого называют ""Канцлером немецкого единства""?",Герхард Шрёдер,Хельмут Коль,Конрад Аденауэр,Хельмут Шмидт,Хельмут Коль
Какой символ изображен в зале заседаний Бундестага?,федеральный орел,флаг города Берлина,рейхсадлер,имперская корона,федеральный орел
В какой период существовала ГДР?,1919-1927,1933-1945,1945-1961,1949-1990,1949-1990
Сколько федеральных земель добавилось в ФРГ в 1990 году при объединении?,4,5,6,7,5
Границы Германии в их современном виде существуют с …,1933,1949,1971,1990,1990
27 января в Германии — официальный день памяти. О чем напоминает эта дата?,о завершении Второй мировой войны,о принятии Основного закона,об объединении Германии,о жертвах национал-социализма (день освобождения концлагеря Аушвиц),о жертвах национал-социализма (день освобождения концлагеря Аушвиц)
Германия является членом Шенгенского соглашения. Что это означает?,Немцы могут путешествовать по многим странам Европы без паспортного контроля.,Все могут въезжать в Германию без контроля личности.,Немцы могут въезжать без паспорта в любую страну.,Немцы могут платить евро в любой стране.,Немцы могут путешествовать по многим странам Европы без паспортного контроля.
Какая страна является соседкой Германии?,Венгрия,Португалия,Испания,Швейцария,Швейцария
Какая страна является соседкой Германии?,Румыния,Болгария,Польша,Греция,Польша
Что означает аббревиатура ЕС?,Европейские компании,Европейский Союз,Единый Союз,Евро Союз,Европейский Союз
"В какой другой стране проживает большое количество людей, говорящих на немецком языке?",Чехия,Норвегия,Испания,Австрия,Австрия
Какой флаг является флагом Европейского Союза?,Изображение 1,Изображение 2,Изображение 3,Изображение 4,Изображение 2
Какая страна является соседкой Германии?,Финляндия,Дания,Норвегия,Швеция,Дания
Как называется присоединение ГДР к ФРГ в 1990 году?,расширение НАТО на восток,расширение ЕС на восток,объединение Германии,Европейское сообщество,объединение Германии
Какая страна является соседкой Германии?,Испания,Болгария,Норвегия,Люксембург,Люксембург
"Европейский парламент избирается регулярно, а именно каждые …",5 лет.,6 лет.,7 лет.,8 лет.,5 лет.
"Что означает термин ""европейская интеграция""?",Это означает американских иммигрантов в Европе.,Этот термин означает запрет на иммиграцию в Европу.,Это означает европейских эмигрантов в США.,Термин означает объединение европейских государств в ЕС.,Термин означает объединение европейских государств в ЕС.
Кого выбирают на выборах в Европейский парламент?,Европейскую комиссию,"государства, которые могут вступить в ЕС",депутатов Европейского парламента,европейскую конституцию,депутатов Европейского парламента
Какая страна является соседкой Германии?,Чехия,Болгария,Греция,Португалия,Чехия
Где находится одно из мест работы Европейского парламента?,Лондон,Париж,Берлин,Страсбург,Страсбург
"Тогдашний французский президент Франсуа Миттеран и тогдашний канцлер ФРГ Хельмут Коль почтили в Вердене память погибших в обеих мировых войнах. Какую цель ЕС демонстрирует эта встреча?",Дружбу между Англией и Германией,Свободу путешествий во все страны ЕС,Мир и безопасность в странах ЕС,Единые праздники в странах ЕС,Мир и безопасность в странах ЕС
Сколько членов ЕС на сегодняшний день?,21,23,25,27,27
"В 2007 году отмечалось 50-летие ""Римских договоров"". Каков был их смысл?",Вступление Германии в НАТО,Создание Европейского экономического сообщества (ЕЭС),Обязательство Германии по репарациям,Определение границы по линии Одер-Нейсе,Создание Европейского экономического сообщества (ЕЭС)
Где работают Европейский парламент?,"Париж, Лондон и Гаага","Страсбург, Люксембург и Брюссель","Рим, Берн и Вена","Бонн, Цюрих и Милан","Страсбург, Люксембург и Брюссель"
Какими договорами Федеративная Республика Германия присоединилась к Европейскому экономическому сообществу?,"по ""Гамбургским договорам""","по ""Римским договорам""","по ""Парижским договорам""","по ""Лондонским договорам""","по ""Римским договорам"""
С какого года в Германии используется евро в наличной форме?,1995,1998,2002,2005,2002
"Госпожа Зегер родила ребенка. Что она должна сделать, чтобы получить родительское пособие?",Написать в свою медицинскую страховую компанию.,Подать заявление в отдел по вопросам родительских пособий.,"Ничего, так как пособие выплачивается автоматически.",Обратиться в агентство по трудоустройству.,Подать заявление в отдел по вопросам родительских пособий.
"Кто решает, должен ли ребенок в Германии посещать детский сад?",государство,федеральные земли,родители/опекуны,школы,родители/опекуны
Майк и Сибилла хотят организовать демонстрацию в своем городе. Что им нужно сделать?,Зарегистрировать демонстрацию.,"Ничего, демонстрации можно проводить в любое время и в любом месте.","Ничего, демонстрации в Германии запрещены.","Майк и Сибилла должны создать новый клуб, так как только клубы имеют право на демонстрации.",Зарегистрировать демонстрацию.
"Какой школьный аттестат необходим для поступления в университет в Германии?",аттестат зрелости (Abitur),диплом,прокура,диплом ремесленника,аттестат зрелости (Abitur)
Кому в Германии запрещено жить в паре?,Гансу (20 лет) и Мари (19 лет),Тому (20 лет) и Клаусу (45 лет),Софи (35 лет) и Лизе (40 лет),Анне (13 лет) и Тиму (25 лет),Анне (13 лет) и Тиму (25 лет)
С какого возраста человек считается совершеннолетним в Германии?,16,18,19,21,18
Женщина беременна. Перед родами и после них она находится под особой защитой закона. Как называется эта защита?,родительский отпуск,защита материнства,подготовка к родам,послеродовой период,защита материнства
Воспитание детей в Германии — это прежде всего обязанность …,государства.,родителей.,бабушек и дедушек.,школ.,родителей.
Кто в Германии главным образом отвечает за воспитание детей?,государство,родители,родственники,школы,родители
"В Германии у человека больше шансов получить хорошо оплачиваемую работу, если он …",католик.,имеет хорошее образование.,женщина.,член партии.,имеет хорошее образование.
"Если человека ударили в Германии, …",это никого не касается.,это касается только семьи.,за это не могут наказать.,за это могут наказать.,за это могут наказать.
В Германии …,можно быть женатым только на одном человеке одновременно.,можно иметь нескольких супругов одновременно.,"нельзя повторно жениться, если уже был в браке.","женщина не может повторно выйти замуж, если ее муж умер.",можно быть женатым только на одном человеке одновременно.
"Куда нужно обращаться, если вы переезжаете в Германии?",в регистрационное ведомство,в загс,в отдел общественного порядка,в агентство по предпринимательству,в регистрационное ведомство
"В Германии супруги могут развестись. Обычно они должны соблюдать ""год раздельного проживания"". Что это значит?",Процесс развода длится год.,"Супруги должны быть женаты год, чтобы можно было развестись.",Право на посещение детей действует один год.,Супруги живут отдельно не менее года. После этого развод возможен.,Супруги живут отдельно не менее года. После этого развод возможен.
При проблемах с воспитанием детей родители в Германии могут обратиться за помощью в …,отдел общественного порядка.,школьный отдел.,молодежный отдел.,отдел здравоохранения.,молодежный отдел.
Супружеская пара хочет открыть ресторан в Германии. Что им обязательно нужно?,разрешение полиции,разрешение партии,разрешение регистрационного ведомства,разрешение на деятельность в сфере общественного питания от компетентного органа,разрешение на деятельность в сфере общественного питания от компетентного органа
Взрослая женщина хочет в Германии сдать экзамены на аттестат зрелости. Где она может это сделать?,в университете.,в вечерней гимназии.,в основной школе.,в частном университете.,в вечерней гимназии.
Что может сделать молодежный отдел в Германии?,"Решить, в какую школу пойдет ребенок.","Забрать ребенка, который подвергается насилию или недоеданию, из семьи.",Выплачивать родительские пособия.,"Следить за тем, посещает ли ребенок детский сад.","Забрать ребенка, который подвергается насилию или недоеданию, из семьи."
Центр профориентации (BIZ) при Федеральном агентстве по труду в Германии помогает с …,расчетом пенсий.,поиском мест для обучения.,заполнением налоговой декларации.,медицинским страхованием.,поиском мест для обучения.
В школе в Германии ребенок имеет …,право на неограниченное свободное время.,свободу выбора всех предметов.,право на оплату за обучение.,обязательную посещаемость.,обязательную посещаемость.
Мужчина хочет в 30 лет получить аттестат зрелости в Германии. Где он может это сделать?,в университете.,в вечерней гимназии.,в основной школе.,в частном университете.,в вечерней гимназии.
Что означает в Германии принцип равного обращения?,"Никто не может быть, например, дискриминирован по причине инвалидности.","Можно дискриминировать других, если есть достаточные личные основания.","Никто не может подать жалобу, если его дискриминировали.","Все обязаны ежегодно жертвовать деньги дискриминированным группам.","Никто не может быть, например, дискриминирован по причине инвалидности."
"В Германии подростки с 14 лет несут уголовную ответственность. Это значит: подростки, достигшие 14 лет, которые нарушают законы, …",наказываются.,рассматриваются как взрослые.,делят наказание с родителями.,не наказываются.,наказываются.
На каком празднике в Германии люди надевают маски и костюмы?,на Розенмонтаг,на первомайском празднике,на Октоберфесте,на Пятидесятнице,на Розенмонтаг
"Куда нужно обратиться, если вы хотите вступить в брак в Германии?",в регистрационное ведомство,в отдел общественного порядка,в агентство по трудоустройству,в загс,в загс
Когда в Германии начинается законная ночная тишина?,когда садится солнце,когда соседи ложатся спать,"в полночь",в 22:00,в 22:00
"Молодая женщина в Германии, 22 года, живет со своим партнером. Ее родители против этого, так как им не нравится партнер. Что они могут сделать?",Они должны уважать решение совершеннолетней дочери.,"Они имеют право вернуть дочь в родительский дом.",Они могут обратиться в полицию и заявить на дочь.,Они ищут другого партнера для дочери.,Они должны уважать решение совершеннолетней дочери.
"Молодая женщина хочет получить водительские права. Она боится экзамена, так как ее родной язык не немецкий. Что верно?","Она должна прожить в Германии минимум 10 лет, прежде чем сдавать на права.","Если она не знает немецкий, она не может получить права.","Она должна сдавать экзамен в стране, где говорят на ее языке.",Она может сдавать теоретический экзамен на своем родном языке. Есть более 10 языков на выбор.,Она может сдавать теоретический экзамен на своем родном языке. Есть более 10 языков на выбор.
В Германии дети в возрасте от трех лет до начала школьного обучения имеют право на …,ежемесячные карманные деньги.,место в спортивном клубе.,место в детском саду.,льготный пропуск на каникулы.,место в детском саду.
Народный университет в Германии — это учреждение …,для религиозного образования.,только для молодежи.,для дополнительного образования.,только для пенсионеров.,для дополнительного образования.
Что является традицией на Рождество в Германии?,прятать цветные яйца,украшать елку,надевать маски и костюмы,ставить тыквы перед дверью,украшать елку
Какая форма жизни не разрешена в Германии?,Мужчина и женщина разведены и живут с новыми партнерами.,Две женщины живут вместе.,Отец-одиночка живет с двумя детьми.,Мужчина состоит в браке с двумя женщинами одновременно.,Мужчина состоит в браке с двумя женщинами одновременно.
При проблемах с воспитанием детей вы обращаетесь в Германии …,к врачу.,в отдел здравоохранения.,в регистрационное ведомство.,в молодежный отдел.,в молодежный отдел.
"Вы намеренно вскрыли письмо, адресованное другому человеку в Германии. Какой закон вы нарушили?",право на тайну,тайну переписки,обязанность молчания,свободу слова,тайну переписки
Что необходимо для развода в Германии?,согласие родителей,медицинская справка,согласие детей,помощь адвоката,помощь адвоката
"Что вы должны сделать, если ваш контакт в немецком ведомстве обращается с вами грубо?",Ничего нельзя сделать.,Я должен смириться с этим.,Я угрожаю человеку.,Я могу подать жалобу руководителю ведомства.,Я могу подать жалобу руководителю ведомства.
"Женщина с двухлетним ребенком подает заявление о приеме на работу в Германии. Что может считаться дискриминацией? Ей не дают работу, потому что она …",не говорит по-английски.,запросила слишком высокую зарплату.,не имеет опыта работы.,мать.,мать.
"Мужчина на инвалидной коляске подает заявление на должность бухгалтера в Германии. Что может считаться дискриминацией? Ему отказывают в работе, потому что он …",находится в инвалидной коляске.,не имеет опыта.,запросил слишком высокую зарплату.,не говорит по-английски.,находится в инвалидной коляске.
"В большинстве жилых домов в Германии существует ""домашний порядок"". Что содержится в этом документе?",Правила пользования общественным транспортом.,Список всех арендаторов дома.,"Правила, которым должны следовать все жители.","Адрес ближайшего административного ведомства.","Правила, которым должны следовать все жители."
"Что вы должны сделать, если хотите оспорить неправильное налоговое уведомление в Германии?",Ничего.,Выбросить уведомление.,Подать возражение.,"Подождать, пока придет другое уведомление.",Подать возражение.
Два друга хотят пойти в общественный бассейн в Германии. Им отказывают из-за темного цвета кожи. Какое право нарушается в этой ситуации? Право на …,свободу слова,равное обращение,свободу собраний,свободу передвижения,равное обращение
"Какое общественное обязательство должны выполнять граждане Германии, если их об этом попросят?",Тренерство в клубе.,Работа в качестве выборного помощника.,Контроль в библиотеке.,Работа учителем.,Работа в качестве выборного помощника.
"Что вы делаете, если получаете неправильный счет от государственного ведомства в Германии?",Оставляю счет без внимания.,Подавляю возражение против ведомства.,Отправляю счет обратно в ведомство.,Иду с счетом в налоговую инспекцию.,Подавляю возражение против ведомства.
"Что нужно делать, если требования к работе постоянно меняются?","Неважно, что вы учите.","Взрослые должны продолжать учиться даже после завершения учебы.","Дети учат в школе все, что нужно для работы, после школы учиться больше не нужно.","Все должны раньше заканчивать работать, так как все меняется.","Взрослые должны продолжать учиться даже после завершения учебы."
Госпожа Фрост работает штатным сотрудником в офисе. Что она не обязана оплачивать из своей зарплаты?,подоходный налог,взносы в страхование по безработице,взносы в пенсионное и медицинское страхование,налог с оборота,налог с оборота
Какой орган в компании помогает работникам при проблемах с работодателем?,производственный совет,производственный инспектор,производственная группа,производственный менеджмент,производственный совет
Вы хотите прекратить трудовые отношения с фирмой в Германии. Что вам нужно учитывать?,зарплатные выплаты,рабочее время,срок уведомления,обязательное страхование,срок уведомления
На чем основана особая ответственность Германии перед Израилем?,на членстве в Европейском Союзе (ЕС),на национал-социалистических преступлениях против евреев,на основном законе ФРГ,на христианской традиции,на национал-социалистических преступлениях против евреев
"Мужчина с темным цветом кожи подает заявление на должность официанта в ресторане в Германии. Что может считаться дискриминацией? Ему отказывают, потому что он …",не говорит по-немецки.,запросил слишком высокую зарплату.,имеет темный цвет кожи.,не имеет опыта работы.,имеет темный цвет кожи.
"Вы купили телевизор в Германии. Дома вы его распаковываете, но он не работает. Телевизор сломан. Что вы можете сделать?",Написать объявление.,Рекламировать телевизор.,Самостоятельно обменять устройство.,Продлить гарантию.,Рекламировать телевизор.
"Почему в налоговой декларации в Германии нужно указывать принадлежность к церкви? Потому что …","существует церковный налог, который привязан к подоходному налогу.",это важно для статистики в Германии.,"нужно платить больше налогов, если не принадлежишь к церкви.","церковь отвечает за налоговую декларацию.","существует церковный налог, который привязан к подоходному налогу."
Люди в Германии живут по принципу религиозной толерантности. Что это значит?,Мечети строить нельзя.,Все верят в Бога.,"Каждый может верить во что хочет.","Государство решает, в какого Бога верить.","Каждый может верить во что хочет."
Какая традиция в Германии связана с Пасхой?,ставить тыквы перед дверью,украшать елку,раскрашивать яйца,запускать ракеты в воздух,раскрашивать яйца
Пятидесятница — это …,христианский праздник.,немецкий день памяти.,международный траурный день.,баварская традиция.,христианский праздник.
Какая религия оказала большое влияние на европейскую и немецкую культуру?,индуизм,христианство,буддизм,ислам,христианство
Как в Германии называют последние четыре недели перед Рождеством?,День покаяния.,Праздник урожая.,Адвент.,День всех святых.,Адвент.
Из какой страны в Германию приехало больше всего мигрантов?,Италия,Польша,Марокко,Турция,Турция
В ГДР проживало больше всего мигрантов из …,"Вьетнама, Польши, Мозамбика.","Франции, Румынии, Сомали.","Чили, Венгрии, Зимбабве.","Северной Кореи, Мексики, Египта.","Вьетнама, Польши, Мозамбика."
"Как назывались иностранные рабочие, приглашенные Федеративной Республикой Германии в 50-е и 60-е годы?",Нелегальные рабочие.,Гастарбайтеры.,Временные рабочие.,Посменные рабочие.,Гастарбайтеры.
Из какой страны прибыли первые гастарбайтеры в Федеративную Республику Германия?,Италия,Испания,Португалия,Турция,Италия
